LIFNR,NAME1,LAND1,ORT01,KTOKK,ERDAT,STRAS,SMTP_ADDR,SPERR
V0000001,"Rodriguez, Figueroa and Sanchez",CU,Lake Joyside,ZSRV,2021-05-16,600 Jeffery Parkways,hoffmanjennifer@example.net, 
V0000002,"Barnes, Cole and Ramirez",AF,Lake Roberto,ZDOM,2023-04-24,35116 Michael Key Suite 078,dudleynicholas@example.net, 
V0000003,Calderon-Montgomery,ML,Lake Chad,ZINT,2021-04-21,1316 Chavez Village,francisco53@example.net, 
V0000004,Miles-Sutton,BN,New Jessica,ZINT,2024-01-06,6483 Cameron Trail,perezantonio@example.com, 
V0000005,Adams-Clark,TN,Jasonfort,ZINT,2022-07-08,724 John Points Suite 969,icox@example.net, 
V0000006,Davis-Williams,CG,Lake Ernest,ZDOM,2024-04-03,166 Rice Plaza Apt. 184,daniel62@example.com, 
V0000007,Mckay Ltd,IN,New Rita,ZSRV,2021-07-23,893 Nathaniel Estates Apt. 957,rodriguezmichael@example.com, 
V0000008,Brown PLC,BR,Lake Toddland,ZSRV,2020-07-28,78248 Brandt Plains,jenniferross@example.net, 
V0000009,"Brooks, Lam and Hayes",HU,North Matthew,ZSRV,2023-05-21,301 Jeremy Bypass,chad34@example.net, 
V0000010,Lewis-Anderson,TO,Sanchezfort,ZCON,2023-01-03,11656 Owens Stream Apt. 106,lauren13@example.org, 
V0000011,Herrera and Sons,NO,West Steven,ZDOM,2023-02-04,8108 Tanya Terrace,gabrieltucker@example.org, 
V0000012,Barrera-Martin,AD,Bakermouth,ZSRV,2023-03-28,8723 Robinson Centers Apt. 500,hshaw@example.org, 
V0000013,Yu Inc,ER,New Carlosbury,ZINT,2024-05-02,93990 Robert Prairie Suite 435,josephanderson@example.net, 
V0000014,Bryant-Hickman,BN,South Christineshire,ZINT,2024-11-09,83842 Ibarra Gardens,justin78@example.net, 
V0000015,Carr-Archer,TD,Lake Lisaport,ZSRV,2020-11-29,41182 Campbell Fords,james48@example.com, 
V0000016,Whitehead-Mathis,BW,Calderonton,ZSRV,2023-12-08,2427 Hoffman Creek,landryhannah@example.org, 
V0000017,"Johnson, Wood and Tran",NR,North Kyle,ZINT,2022-12-29,3315 Dickson Summit,sarayoung@example.org, 
V0000018,Keith Inc,EE,Kimberlychester,ZCON,2021-07-06,2160 Walker Viaduct,ybailey@example.org, 
V0000019,Johnson and Sons,MZ,Joshualand,ZINT,2023-11-03,8685 Darrell Green Apt. 940,carlsonmichael@example.com, 
V0000020,Obrien-Dixon,MV,West Bradley,ZDOM,2021-04-14,88356 Stacy Isle Suite 148,elizabeth56@example.net, 
V0000021,Spencer-Lee,TL,Byrdburgh,ZCON,2021-07-02,8044 Russell Prairie Suite 777,williamleon@example.net, 
V0000022,Hopkins LLC,SG,Clarencebury,ZSRV,2021-03-11,32003 Carr Trafficway Apt. 769,jennifercruz@example.com, 
V0000023,Hernandez Ltd,AF,Port Ronaldburgh,ZCON,2020-10-19,83172 Contreras Points Suite 798,jrivas@example.com, 
V0000024,Manning Group,PG,Karenview,ZSRV,2024-03-09,347 Jennifer Freeway Suite 558,taylorjesse@example.net, 
V0000025,Mccarthy Inc,NI,Riveramouth,ZCON,2022-01-11,36690 Woods Knoll Suite 668,tracynelson@example.com, 
V0000026,Price Ltd,GD,Ramseymouth,ZCON,2020-07-05,806 Christopher Meadow,michellewhite@example.com, 
V0000027,Murphy-Gibson,LU,Ramirezchester,ZINT,2023-07-09,70805 Debra Tunnel Apt. 033,howelljohn@example.com, 
V0000028,"Wilson, Gould and Marshall",IE,Garyville,ZDOM,2022-02-27,1904 Sanders Stravenue,charlesvaughn@example.net, 
V0000029,Garcia LLC,LA,Port Tonyaton,ZSRV,2023-02-07,651 Smith Manor Suite 165,bzimmerman@example.org, 
V0000030,"Boyd, Santos and Gilbert",SO,Marshallshire,ZDOM,2023-10-28,3147 Karen Port Suite 507,hunter35@example.com, 
V0000031,Ramirez-Carlson,IS,New Stacyland,ZSRV,2020-08-16,678 Hannah Rue,bwest@example.org, 
V0000032,Walker-Holt,KP,Thomashaven,ZDOM,2024-01-18,8557 Parker Fort Apt. 351,jamesrodgers@example.com, 
